Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,baseline,batch_size,class_weight,data,epochs,frequency,initial_epoch,layers/channels,min_delta,model_key,monitor,opt_amsgrad,opt_beta_1,opt_beta_2,opt_clipnorm,opt_clipvalue,opt_ema_momentum,opt_ema_overwrite_frequency,opt_epsilon,opt_global_clipnorm,opt_gradient_accumulation_steps,opt_learning_rate,opt_loss_scale_factor,opt_name,opt_use_ema,opt_weight_decay,patience,restore_best_weights,sample_weight,sampling_stepsize,shuffle,smoothing_func,steps_per_epoch,transient_data_length,validation_batch_size,validation_freq,validation_split,validation_steps,window_width,loss,mean_absolute_error,stopped_epoch,test_mae_static,test_mae_transient,test_mse_static,test_mse_transient,val_loss,val_mean_absolute_error,validation_loss,validation_mean_absolute_error
2024-08-31 17:56:17,2.2min,2c54831a6c0340c9b28d555c2d86a6d4,blushing-whale-4,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,conv1d,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.00457013538107276,0.04238436371088028,4,0.0719112606082093,0.056666272621653205,0.00619230343337585,0.006197462196290426,0.003146737115457654,0.04163895547389984,0.003146737115457654,0.04163895547389984
2024-08-31 17:54:02,2.2min,57cee0e3eac1468bb5de865b6f0c1173,nimble-squirrel-111,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,dynamic_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.004821502137929201,0.04471253603696823,1,0.06753803876128933,0.05647757091382011,0.00553688566790433,0.0061699122237290245,0.0031311989296227694,0.0415995717048645,0.0031311989296227694,0.0415995717048645
2024-08-31 17:52:13,1.7min,4dd1e0ee9aa74298880d8173aeef0dec,dashing-gnat-236,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,dynamic_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.004593666177242994,0.04258338734507561,1,0.06476791118903304,0.056998990752438056,0.005064653226662272,0.006422996470659443,0.0032758242450654507,0.042103078216314316,0.0032758242450654507,0.042103078216314316
2024-08-31 17:50:23,1.7min,0e43dc2132fc4b01a4381f2c03990d2d,fearless-loon-30,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,dynamic_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.0045530893839895725,0.04231226071715355,2,0.07048586905881674,0.056579932297454685,0.005985460221825836,0.006160825643313973,0.0031204656697809696,0.041604477912187576,0.0031204656697809696,0.041604477912187576
2024-08-31 17:48:31,1.8min,844558e52936424d99368e46da2b4a8b,sneaky-kite-164,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,static_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.0013495582388713956,0.026379825547337532,3,0.03995296304474485,0.02682265798954818,0.002139584487436974,0.0010937319364019956,0.0011238674633204937,0.027316603809595108,0.0011238674633204937,0.027316603809595108
2024-08-31 17:46:36,1.8min,39f42bcbacf2469ca554bdac24b6b90a,illustrious-bee-750,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,static_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.0017875578487291932,0.028795355930924416,10,0.024429833369189777,0.028703239313113162,0.0009436612784531236,0.0014925078525700485,0.0012197545729577541,0.02767583541572094,0.0012197545729577541,0.02767583541572094
2024-08-31 17:44:41,1.8min,3d68d61d12a94b248cb7c8d9ccea440a,defiant-fly-993,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,static_mlp,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.0019025088986381888,0.02863439917564392,11,0.06043870939289933,0.028527907706634555,0.0049404762611455835,0.001374952131424722,0.001106851501390338,0.026316003873944283,0.001106851501390338,0.026316003873944283
2024-08-31 17:44:30,5.4s,0f6e59c441454efeba2916aeef7d3aa6,aged-lamb-945,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,64,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{'rolling_mean'},,{4},,,,,180,,,,0.06638046960217242,0.056768738966038484,0.005328469926146147,0.0063111786193602,,,,
2024-08-31 17:44:20,5.3s,6117e820ee174d7ea97e7917b4803c6d,smiling-sponge-762,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,16,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{'rolling_mean'},,{4},,,,,180,,,,0.06638046960217242,0.056768738966038484,0.005328469926146147,0.0063111786193602,,,,
2024-08-31 17:44:09,5.4s,d1b0a6a1b8a84421be990681100cc69a,abundant-croc-591,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,8,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{'rolling_mean'},,{4},,,,,180,,,,0.06638046960217242,0.056768738966038484,0.005328469926146147,0.0063111786193602,,,,
